,model,time_score
0,1,5.0
1,2,0.9700000000000006
2,3,0.9700000000000006
3,4,0.7800000000000005
4,5,5.0
5,6,5.0
6,7,5.0
7,8,5.0
8,9,5.0
9,10,5.0
10,11,1.0300000000000007
11,12,1.0000000000000007
12,13,0.9500000000000006
13,14,1.350000000000001
14,15,1.7700000000000014
15,16,1.450000000000001
16,17,1.1300000000000008
17,18,0.8400000000000005
18,19,5.0
19,20,5.0
20,21,5.0
21,22,5.0
22,23,5.0
23,24,5.0
24,25,5.0
25,26,5.0
26,27,5.0
27,28,5.0
28,29,5.0
29,30,5.0
30,31,5.0
31,32,5.0
32,33,5.0
33,34,5.0
34,35,5.0
35,36,5.0
36,37,5.0
37,38,5.0
38,39,5.0
39,40,5.0
40,41,5.0
