,model,time_score
0,1,5.0
1,2,0.8100000000000005
2,3,0.7900000000000005
3,4,0.5000000000000002
4,5,0.6800000000000004
5,6,0.6800000000000004
6,7,0.5100000000000002
7,8,0.3200000000000001
8,9,5.0
9,10,0.5600000000000003
10,11,0.6100000000000003
11,12,0.6600000000000004
12,13,0.5000000000000002
13,14,0.5700000000000003
14,15,0.3300000000000001
15,16,0.7100000000000004
16,17,1.380000000000001
17,18,2.3599999999999937
18,19,0.45000000000000023
19,20,0.7000000000000004
20,21,0.4000000000000002
21,22,0.3100000000000001
22,23,0.38000000000000017
23,24,0.36000000000000015
24,25,1.0400000000000007
25,26,0.4100000000000002
26,27,1.0200000000000007
27,28,0.4400000000000002
28,29,0.5000000000000002
29,30,0.46000000000000024
30,31,0.6000000000000003
31,32,0.5200000000000002
32,33,0.6500000000000004
33,34,0.5700000000000003
34,35,0.6200000000000003
35,36,0.6000000000000003
36,37,0.6300000000000003
37,38,0.7900000000000005
38,39,0.7100000000000004
39,40,0.7400000000000004
40,41,0.8500000000000005
