,model,time_score
0,1,5.0
1,2,0.8100000000000005
2,3,0.8500000000000005
3,4,0.7000000000000004
4,5,0.6900000000000004
5,6,0.6700000000000004
6,7,0.6800000000000004
7,8,0.6400000000000003
8,9,5.0
9,10,0.6700000000000004
10,11,0.8700000000000006
11,12,0.8400000000000005
12,13,0.8100000000000005
13,14,1.1900000000000008
14,15,1.5900000000000012
15,16,1.300000000000001
16,17,0.9800000000000006
17,18,0.7100000000000004
18,19,0.3900000000000002
19,20,0.6000000000000003
20,21,0.8300000000000005
21,22,0.8500000000000005
22,23,0.7200000000000004
23,24,2.579999999999989
24,25,0.5700000000000003
25,26,0.5700000000000003
26,27,0.5600000000000003
27,28,0.5000000000000002
28,29,0.5100000000000002
29,30,0.5000000000000002
30,31,0.48000000000000026
31,32,0.46000000000000024
32,33,0.48000000000000026
33,34,0.48000000000000026
34,35,0.46000000000000024
35,36,0.5700000000000003
36,37,0.5000000000000002
37,38,0.4000000000000002
38,39,0.47000000000000025
39,40,0.6100000000000003
40,41,0.47000000000000025
