,model,time_score
0,1,5.0
1,2,5.0
2,3,5.0
3,4,5.0
4,5,5.0
5,6,5.0
6,7,5.0
7,8,5.0
8,9,5.0
9,10,5.0
10,11,5.0
11,12,5.0
12,13,0.7300000000000004
13,14,0.9600000000000006
14,15,1.0500000000000007
15,16,1.0300000000000007
16,17,0.9700000000000006
17,18,0.7800000000000005
18,19,0.8300000000000005
19,20,0.23000000000000007
20,21,0.9400000000000006
21,22,0.8100000000000005
22,23,5.0
23,24,5.0
24,25,5.0
25,26,5.0
26,27,0.7600000000000005
27,28,1.5900000000000012
28,29,1.500000000000001
29,30,2.0400000000000005
30,31,0.6400000000000003
31,32,0.3200000000000001
32,33,0.5200000000000002
33,34,0.26000000000000006
34,35,1.7000000000000013
35,36,0.2700000000000001
36,37,0.26000000000000006
37,38,0.24000000000000007
38,39,0.2700000000000001
39,40,0.26000000000000006
40,41,0.24000000000000007
