,model,time_score
0,1,5.0
1,2,5.0
2,3,5.0
3,4,5.0
4,5,5.0
5,6,5.0
6,7,5.0
7,8,5.0
8,9,5.0
9,10,0.47000000000000025
10,11,0.6500000000000004
11,12,0.7700000000000005
12,13,0.8300000000000005
13,14,0.9500000000000006
14,15,1.0300000000000007
15,16,1.0000000000000007
16,17,0.9400000000000006
17,18,0.7500000000000004
18,19,0.8200000000000005
19,20,0.22000000000000006
20,21,0.9000000000000006
21,22,0.5700000000000003
22,23,0.6500000000000004
23,24,0.3100000000000001
24,25,1.290000000000001
25,26,0.6500000000000004
26,27,0.6100000000000003
27,28,1.300000000000001
28,29,1.2200000000000009
29,30,1.7900000000000014
30,31,0.38000000000000017
31,32,0.25000000000000006
32,33,0.46000000000000024
33,34,0.23000000000000007
34,35,1.6300000000000012
35,36,0.18000000000000002
36,37,0.18000000000000002
37,38,0.16
38,39,0.34000000000000014
39,40,0.20000000000000004
40,41,0.36000000000000015
