,model,time_score
0,1,5.0
1,2,5.0
2,3,5.0
3,4,5.0
4,5,5.0
5,6,0.7200000000000004
6,7,0.7300000000000004
7,8,0.8300000000000005
8,9,0.5800000000000003
9,10,0.6300000000000003
10,11,0.5400000000000003
11,12,0.5100000000000002
12,13,0.5600000000000003
13,14,0.6900000000000004
14,15,0.6200000000000003
15,16,0.6800000000000004
16,17,0.49000000000000027
17,18,0.8000000000000005
18,19,0.47000000000000025
19,20,0.7900000000000005
20,21,1.0100000000000007
21,22,0.8400000000000005
22,23,0.8100000000000005
23,24,0.5300000000000002
24,25,1.440000000000001
25,26,0.7900000000000005
26,27,0.49000000000000027
27,28,1.5500000000000012
28,29,1.440000000000001
29,30,1.9900000000000015
30,31,0.6500000000000004
31,32,0.4400000000000002
32,33,0.26000000000000006
33,34,0.38000000000000017
34,35,1.6100000000000012
35,36,0.22000000000000006
36,37,0.9000000000000006
37,38,0.8100000000000005
38,39,0.6500000000000004
39,40,0.22000000000000006
40,41,1.400000000000001
