,model,time_score
0,1,5.0
1,2,5.0
2,3,5.0
3,4,5.0
4,5,5.0
5,6,0.7700000000000005
6,7,0.7800000000000005
7,8,0.8700000000000006
8,9,0.6100000000000003
9,10,0.6600000000000004
10,11,0.5600000000000003
11,12,0.5300000000000002
12,13,0.5900000000000003
13,14,0.7200000000000004
14,15,0.6300000000000003
15,16,0.7100000000000004
16,17,0.5300000000000002
17,18,0.8300000000000005
18,19,0.5100000000000002
19,20,0.8400000000000005
20,21,1.0500000000000007
21,22,0.8900000000000006
22,23,0.8700000000000006
23,24,0.6000000000000003
24,25,1.490000000000001
25,26,0.8400000000000005
26,27,0.5300000000000002
27,28,1.6100000000000012
28,29,0.5600000000000003
29,30,2.0500000000000003
30,31,0.7000000000000004
31,32,0.5000000000000002
32,33,0.3200000000000001
33,34,0.4400000000000002
34,35,1.6800000000000013
35,36,0.26000000000000006
36,37,0.9400000000000006
37,38,0.2900000000000001
38,39,0.6100000000000003
39,40,0.26000000000000006
40,41,0.25000000000000006
