,model,time_score
0,1,5.0
1,2,5.0
2,3,5.0
3,4,5.0
4,5,5.0
5,6,0.6400000000000003
6,7,0.6500000000000004
7,8,0.7600000000000005
8,9,0.5200000000000002
9,10,0.5800000000000003
10,11,0.49000000000000027
11,12,0.47000000000000025
12,13,0.5200000000000002
13,14,0.6300000000000003
14,15,0.5800000000000003
15,16,0.6300000000000003
16,17,0.4200000000000002
17,18,0.7400000000000004
18,19,0.4100000000000002
19,20,0.7200000000000004
20,21,0.9300000000000006
21,22,0.7600000000000005
22,23,0.7200000000000004
23,24,0.4200000000000002
24,25,1.340000000000001
25,26,0.6900000000000004
26,27,0.6700000000000004
27,28,1.440000000000001
28,29,0.38000000000000017
29,30,1.8900000000000015
30,31,0.5200000000000002
31,32,0.18000000000000002
32,33,0.11999999999999998
33,34,0.15
34,35,1.5700000000000012
35,36,0.16
36,37,0.13999999999999999
37,38,0.11999999999999998
38,39,0.16
39,40,0.11999999999999998
40,41,0.4000000000000002
